model,dataset,num_samples,before_accuracy,after_accuracy,delta_accuracy
gemma,erqa,400,0.335,0.2025,-0.1325
gemma,robospatial,350,0.44571428571428573,0.37142857142857144,-0.07428571428571429
gemma,vsr,1222,0.6571194762684124,0.632569558101473,-0.02454991816693941
gemma,whatsup,820,0.4146341463414634,0.5048780487804878,0.09024390243902441
internvl,erqa,400,0.4025,0.39,-0.012500000000000011
internvl,robospatial,350,0.5028571428571429,0.4857142857142857,-0.017142857142857182
internvl,vsr,1222,0.7667757774140753,0.7446808510638298,-0.02209492635024557
internvl,whatsup,820,0.9597560975609756,0.9182926829268293,-0.04146341463414627
qwen,erqa,400,0.4325,0.4,-0.03249999999999997
qwen,robospatial,350,0.4942857142857143,0.46,-0.03428571428571425
qwen,vsr,1222,0.8248772504091653,0.792962356792144,-0.03191489361702127
qwen,whatsup,820,0.9853658536585366,0.9865853658536585,0.0012195121951219523
smol,erqa,400,0.32,0.3475,0.02749999999999997
smol,robospatial,350,0.3342857142857143,0.37714285714285717,0.04285714285714287
smol,vsr,1222,0.70949263502455,0.7029459901800328,-0.006546644844517169
smol,whatsup,820,0.5756097560975609,0.5560975609756098,-0.019512195121951126
